,ranking,titulo,autor,precio_euros,puntuacion,num_reviews,portada
0,1,Esperando al diluvio: 1591 (Áncora & Delfín),Dolores Redondo,"21,75 ","5,0",1,"https://images-eu.ssl-images-amazon.com/images/I/81O3rl+i0aL._AC_UL300_SR300,200_.jpg"
1,2,Cuando era divertido (Ediciones B),Eloy Moreno,"18,90 ","4,6",7,"https://images-eu.ssl-images-amazon.com/images/I/81FD3dhe6UL._AC_UL300_SR300,200_.jpg"
2,3,ARTA y la invasión máxima (Arta Game 2),Arta Game,"18,95 ","4,8",9,"https://images-eu.ssl-images-amazon.com/images/I/911pIAvZn+L._AC_UL300_SR300,200_.jpg"
3,4,El metal perdido (Nacidos de la bruma [Mistborn] 7),Brandon Sanderson,"20,80 ",None,None,"https://images-eu.ssl-images-amazon.com/images/I/81sO-M4F0yL._AC_UL300_SR300,200_.jpg"
4,5,Antes del olvido (No Ficción),Jorge Javier Vázquez,"19,85 ","3,5",111,"https://images-eu.ssl-images-amazon.com/images/I/81xBcZygekL._AC_UL300_SR300,200_.jpg"
5,6,"Cómo hacer que te pasen cosas buenas: Entiende tu cerebro, gestiona tus emociones, mejora tu vida (Fuera de colección)",Marian Rojas Estapé,"18,90 ","4,6",6.579,"https://images-eu.ssl-images-amazon.com/images/I/81yZvh71EML._AC_UL300_SR300,200_.jpg"
6,7,ARTA en el apocalipsis máximo (Arta Game 1),Arta Game,"14,06 ","4,7",777,"https://images-eu.ssl-images-amazon.com/images/I/81YuAlejXCL._AC_UL300_SR300,200_.jpg"
7,8,Por si las voces vuelven (No Ficción),Ángel Martín,"13,95 ","4,6",5.712,"https://images-eu.ssl-images-amazon.com/images/I/8137pZXGy+L._AC_UL300_SR300,200_.jpg"
8,9,Por si las voces vuelven. Edición especial tapa dura (No Ficción),Ángel Martín,"18,90 ","4,6",5.712,"https://images-eu.ssl-images-amazon.com/images/I/81IRKsvB3kL._AC_UL300_SR300,200_.jpg"
9,10,"Limpieza, orden y felicidad: Pequeños trucos para solucionar grandes desastres (Prácticos)",Bego  La Ordenatriz,"13,00 ","4,6",290,"https://images-eu.ssl-images-amazon.com/images/I/719mUi1P16L._AC_UL300_SR300,200_.jpg"
10,11,Después de diciembre (edición revisada por la autora) (Meses a tu lado 2),Joana Marcús,"15,05 ","4,5",173,"https://images-eu.ssl-images-amazon.com/images/I/71te+JAGpnL._AC_UL300_SR300,200_.jpg"
11,12,Invisible (Nube de Tinta),Eloy Moreno,"12,10 ","4,7",7.600,"https://images-eu.ssl-images-amazon.com/images/I/71rDyMBfBoL._AC_UL300_SR300,200_.jpg"
12,13,Lejos de Luisiana: Premio Planeta 2022 (Autores Españoles e Iberoamericanos),Luz Gabás,"19,32 ","4,3",47,"https://images-eu.ssl-images-amazon.com/images/I/71NGdSCKWrL._AC_UL300_SR300,200_.jpg"
13,14,Boulevard. Libro 1: Edición especial ilustrada (Wattpad),Flor M. Salvador,"23,70 ",None,None,"https://images-eu.ssl-images-amazon.com/images/I/81bNfn0HaRL._AC_UL300_SR300,200_.jpg"
14,15,Encuentra tu persona vitamina (F. COLECCION),Marian Rojas Estapé,"18,90 ","4,6",3.094,"https://images-eu.ssl-images-amazon.com/images/I/712cARV+H7S._AC_UL300_SR300,200_.jpg"
15,16,Así es la puta vida: El libro de ANTI-autoayuda (Plan B),Jordi Wild,"17,95 ","4,5",79,"https://images-eu.ssl-images-amazon.com/images/I/81p8OKQ7iZL._AC_UL300_SR300,200_.jpg"
16,17,Los renglones torcidos de Dios (Contemporánea),Torcuato Luca de Tena,"8,00 ","4,7",1.223,"https://images-eu.ssl-images-amazon.com/images/I/71o+3AdQCsL._AC_UL300_SR300,200_.jpg"
17,18,Osito Tito. ¡Feliz Navidad!,Benji Davies,"6,60 ","4,8",285,"https://images-eu.ssl-images-amazon.com/images/I/91HcD8SauyL._AC_UL300_SR300,200_.jpg"
18,19,El poder del ahora: una guía para la iluminación espiritual (Perenne),Eckhart Tolle,"6,44 ","4,5",3.888,"https://images-eu.ssl-images-amazon.com/images/I/71hHAjSYR3L._AC_UL300_SR300,200_.jpg"
19,20,"El gran libro de Lucía, mi pediatra: La guía más completa y actualizada sobre la salud de tu hijo desde el nacimiento a la adolescencia (No Ficción)",Lucía Galán Bertrand,"21,75 ","4,7",2.149,"https://images-eu.ssl-images-amazon.com/images/I/81cHVQqafZL._AC_UL300_SR300,200_.jpg"
20,21,Cocina fácil y rico: Más de 600 recetas para triunfar (Planeta Cocina),Karlos Arguiñano,"23,70 ",None,None,"https://images-eu.ssl-images-amazon.com/images/I/81OLGD751kL._AC_UL300_SR300,200_.jpg"
21,22,"Hábitos atómicos: Cambios pequeños, resultados extraordinarios (Autoconocimiento)",James Clear,"17,05 ","4,6",3.437,"https://images-eu.ssl-images-amazon.com/images/I/71prwdyuE7L._AC_UL300_SR300,200_.jpg"
22,23,Todo arde (La Trama),Juan Gómez-Jurado,"16,31 ","4,4",2.283,"https://images-eu.ssl-images-amazon.com/images/I/71Pj9HPkCFL._AC_UL300_SR300,200_.jpg"
23,24,Neurociencia del cuerpo: Cómo el organismo esculpe el cerebro (En órbita),Nazareth Castellanos,"17,10 ","4,7",65,"https://images-eu.ssl-images-amazon.com/images/I/71uKT1LAt1L._AC_UL300_SR300,200_.jpg"
24,25,Historias de mujeres casadas: Finalista Premio Planeta 2022 (Autores Españoles e Iberoamericanos),Cristina Campos,"21,37 ","4,2",53,"https://images-eu.ssl-images-amazon.com/images/I/81ZLlRC9mFL._AC_UL300_SR300,200_.jpg"
25,26,"Libro de lettering. Colorea , practica y crea",Susaeta Equipo,"4,70 ","4,6",290,"https://images-eu.ssl-images-amazon.com/images/I/71uqyB-tf4L._AC_UL300_SR300,200_.jpg"
26,27,Destroza este diario. Ahora a todo color (Libros Singulares),Keri Smith,"10,40 ","4,6",3.064,"https://images-eu.ssl-images-amazon.com/images/I/91W-zMfhy6L._AC_UL300_SR300,200_.jpg"
27,28,Se tiene que morir mucha gente (Éxitos),Victoria Martín,"16,80 ","4,5",227,"https://images-eu.ssl-images-amazon.com/images/I/91Dy6hwlD6L._AC_UL300_SR300,200_.jpg"
28,29,Contando atardeceres,La Vecina Rubia,"14,95 ","4,8",1.311,"https://images-eu.ssl-images-amazon.com/images/I/81u3nxRaSBL._AC_UL300_SR300,200_.jpg"
29,30,Aprender a leer en la Escuela de Monstruos 1 - La mascota más grandota: En letra MAYÚSCULA para aprender a leer (Libros para niños a partir de 5 años),Sally Rippin,"6,60 ","4,7",687,"https://images-eu.ssl-images-amazon.com/images/I/8177GEknlFL._AC_UL300_SR300,200_.jpg"
30,31,Libertad Inmobiliaria: Consigue la libertad financiera con la inversión inmobiliaria,Carlos Galán,"13,99 ","4,8",87,"https://images-eu.ssl-images-amazon.com/images/I/61Ww2AqKmBL._AC_UL300_SR300,200_.jpg"
31,32,"Si tú quieres, te bajas la luna (4You2)",Luna Javierre,"12,10 ","4,7",81,"https://images-eu.ssl-images-amazon.com/images/I/71JI8WqmBTL._AC_UL300_SR300,200_.jpg"
32,33,Historia de la Navidad (Libros ilustrados),Equipo Editorial,"18,85 ",None,None,"https://images-eu.ssl-images-amazon.com/images/I/71pOKOUWDpL._AC_UL300_SR300,200_.jpg"
33,34,Y ahora supera mi beso (Romántica Contemporánea),Megan Maxwell,"16,05 ",None,None,"https://images-eu.ssl-images-amazon.com/images/I/81I+PJlbKvL._AC_UL300_SR300,200_.jpg"
34,35,Piense y hágase rico (Éxito),NAPOLEON HILL,"6,50 ","4,5",3.368,"https://images-eu.ssl-images-amazon.com/images/I/813U0I0G+4L._AC_UL300_SR300,200_.jpg"
35,36,Revolución: Una novela (Hispánica),Arturo Pérez-Reverte,"21,74 ","4,4",1.352,"https://images-eu.ssl-images-amazon.com/images/I/81tqKPXMSxL._AC_UL300_SR300,200_.jpg"
36,37,APRENDER A ESCRIBIR LETRAS Y NÚMEROS CON PAUTA MONTESSORI: Caligrafía iniciación a lectoescritura niños de 3 4 5 6 años . Libro de escritura letra ... y escribir letras mayúsculas y minúsculas,Caligrafía Moreno,"6,99 ","4,7",358,"https://images-eu.ssl-images-amazon.com/images/I/61h87G8YWSL._AC_UL300_SR300,200_.jpg"
37,38,Pokémon Súper Extra Delux Guía esencial definitiva (Colección Pokémon),The Pokémon Company,"20,85 ","4,7",837,"https://images-eu.ssl-images-amazon.com/images/I/910Pz83E9bL._AC_UL300_SR300,200_.jpg"
38,39,La teoría de los archipiélagos (Planeta),Alice Kellen,"16,05 ","4,5",2,"https://images-eu.ssl-images-amazon.com/images/I/81CC4qv8B9L._AC_UL300_SR300,200_.jpg"
